City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Meylan,45.2199,5.7901,49.51,86,2,3.51,FR,1635133442
Chimbote,-9.0853,-78.5783,61.77,89,27,8.01,PE,1635133442
Codrington,-38.2667,141.9667,55.65,60,64,11.59,AU,1635133166
Shubarshi,48.5872,57.1869,47.32,52,100,7.34,KZ,1635133443
Petropavlovsk-Kamchatskiy,53.0452,158.6483,41.59,39,20,15.66,RU,1635133443
Hokitika,-42.7167,170.9667,61.03,81,98,6.64,NZ,1635133444
Longyearbyen,78.2186,15.6401,21.04,68,75,13.8,SJ,1635133112
Biggar,55.6167,-3.5167,48.9,86,76,14.27,GB,1635133444
Belyy Yar,53.6039,91.3903,48.09,57,0,11.18,RU,1635133445
Buala,-8.145,159.5921,84.36,70,84,0.72,SB,1635133132
Flinders,-34.5833,150.8552,73.8,57,10,9.98,AU,1635133115
Monrovia,6.3005,-10.7969,76.77,94,100,3.44,LR,1635133446
Ribeira Grande,38.5167,-28.7,66.02,72,24,1.63,PT,1635133447
Prince George,53.9166,-122.753,47.64,78,90,8.05,CA,1635133183
Shenjiamen,29.9576,122.298,66.92,75,99,15.32,CN,1635133447
Baisha,26.5222,110.9311,67.75,56,4,3.4,CN,1635133448
Poum,-20.2333,164.0167,75.72,71,19,6.08,NC,1635133230
Sisimiut,66.9395,-53.6735,16.81,77,17,10.27,GL,1635133448
Cap Malheureux,-19.9842,57.6142,77.47,63,74,7.0,MU,1635133449
Chicama,-7.8447,-79.1469,59.54,83,42,6.46,PE,1635133449
Gigmoto,13.7796,124.39,84.24,74,93,3.24,PH,1635133450
Departamento de Maldonado,-34.6667,-54.9167,62.22,53,0,14.83,UY,1635133450
Butte,39.6499,-121.5677,59.4,91,90,9.22,US,1635133451
San Fernando del Valle de Catamarca,-28.4696,-65.7852,67.59,28,0,15.88,AR,1635133451
Adrar,20.5022,-10.0711,78.96,21,4,8.86,MR,1635133452
Sri Aman,1.2376,111.4621,87.85,74,40,0.0,MY,1635133452
São José da Coroa Grande,-8.8978,-35.1478,76.05,83,17,6.6,BR,1635133453
Tateyama,34.9833,139.8667,67.1,56,83,15.75,JP,1635133453
Thinadhoo,0.5333,72.9333,83.44,69,56,14.54,MV,1635133454
Mentougou,39.9392,116.0917,67.01,39,71,3.31,CN,1635133454
Taoudenni,22.6783,-3.9836,80.46,21,21,8.72,ML,1635133455
Saint-Augustin,51.226,-58.6502,38.32,70,100,20.02,CA,1635133164
Teya,60.3778,92.6267,34.92,91,99,6.29,RU,1635133455
Øksfjord,70.2396,22.3479,29.32,91,100,13.87,NO,1635133456
Moindou,-21.6924,165.677,80.55,66,5,11.92,NC,1635133456
Tongchuanshi,35.0806,109.0897,58.96,60,41,4.12,CN,1635133457
Nyrob,60.733,56.7202,28.81,92,100,4.07,RU,1635133457
Wisconsin Rapids,44.3836,-89.8174,46.44,67,75,13.8,US,1635133458
Urbana,40.1106,-88.2073,67.75,94,90,4.61,US,1635133458
Altamont,42.2068,-121.7372,44.44,85,75,1.99,US,1635133459
Oistins,13.0667,-59.5333,80.69,78,40,26.46,BB,1635133459
Wagar,16.1525,36.2032,78.46,68,3,8.97,SD,1635133460
Fortuna,40.5982,-124.1573,52.2,64,100,1.99,US,1635133460
Banda Aceh,5.5577,95.3222,84.0,70,93,3.89,ID,1635133461
Abhā,18.2164,42.5053,53.42,76,0,0.0,SA,1635133266
Hare Bay,48.8499,-54.0148,47.55,88,100,11.45,CA,1635133461
Ketchikan,55.3422,-131.6461,45.07,76,1,5.75,US,1635133462
Carutapera,-1.195,-46.02,78.94,85,17,7.25,BR,1635133462
Arrondissement de Limoges,45.75,1.3333,48.0,93,75,2.3,FR,1635133463
Constitución,-35.3333,-72.4167,55.45,81,0,11.3,CL,1635133256
Broken Hill,-31.95,141.4333,65.91,26,0,12.66,AU,1635133463
Laas,46.6166,10.7002,54.86,25,98,2.48,IT,1635133464
Três Barras,-26.1064,-50.3222,55.71,89,49,4.34,BR,1635133464
Yulara,-25.2406,130.9889,87.64,20,0,10.36,AU,1635133464
Boali,4.8005,18.1275,71.47,94,100,1.39,CF,1635133465
Cidreira,-30.1811,-50.2056,58.57,72,0,6.62,BR,1635133465
Adré,13.4667,22.2,75.07,28,34,13.11,TD,1635133466
Kargat,55.1956,80.2811,46.18,55,100,18.97,RU,1635133466
Haimen,23.1935,116.6142,75.09,63,33,10.71,CN,1635133467
Amnat Charoen,15.9167,104.75,82.38,69,98,16.2,TH,1635133467
Malbork,54.0359,19.0266,39.88,82,38,10.51,PL,1635133468
Alice Springs,-23.7,133.8833,85.55,19,49,6.91,AU,1635133422
Salinópolis,-0.6136,-47.3561,80.26,83,1,11.07,BR,1635133468
Nevşehir,38.9167,34.6667,45.61,66,75,12.66,TR,1635133469
Conde,-7.2597,-34.9075,78.26,83,0,4.61,BR,1635133470
Blind River,46.1834,-82.9582,43.05,85,16,11.21,CA,1635133470
Belmonte,-15.8631,-38.8828,77.5,93,91,6.06,BR,1635133471
Port Hawkesbury,45.6169,-61.3485,49.59,86,90,8.99,CA,1635133471
Nuuk,64.1835,-51.7216,25.41,54,20,20.71,GL,1635133471
Sarh,9.1429,18.3923,75.11,88,0,0.0,TD,1635133472
Skjervøy,70.0311,20.9714,33.21,71,100,23.6,NO,1635133473
San Borja,-14.8167,-66.85,63.99,97,100,2.53,BO,1635133473
Sabha,27.0377,14.4283,73.36,38,45,9.28,LY,1635133177
Fălciu,46.2961,28.1408,37.04,69,5,4.0,RO,1635133474
Coahuayana Viejo,18.7333,-103.6833,77.95,93,100,1.57,MX,1635133474
Bud,39.447,-86.1758,69.89,80,13,18.92,US,1635133474
Umluj,25.0213,37.2685,76.12,56,0,8.05,SA,1635133475
Huai Thalaeng,14.997,102.6475,80.28,71,90,11.21,TH,1635133475
Barra de Tecoanapa,16.5167,-98.75,76.32,92,96,6.17,MX,1635133476
Nizhniy Kuranakh,58.8353,125.4869,38.07,81,97,10.38,RU,1635133476
Inhambane,-23.865,35.3833,74.14,84,100,8.68,MZ,1635133477
Sola,-13.8833,167.55,88.47,70,75,5.75,VU,1635133477
Caruray,10.3094,119.0128,87.39,64,97,3.09,PH,1635133478
Greeley,40.4233,-104.7091,56.98,47,1,4.61,US,1635132931
Marsabit,2.3284,37.9899,64.92,81,34,18.34,KE,1635133478
Les Cayes,18.2,-73.75,78.06,82,68,3.98,HT,1635133479
Daru,-9.0763,143.2092,84.0,75,92,11.65,PG,1635133479
Beloha,-25.1667,45.05,76.15,74,65,6.17,MG,1635133480
Mbandaka,0.0487,18.2603,71.83,93,100,2.15,CD,1635133480
Mahanoro,-19.9,48.8,75.81,88,75,9.44,MG,1635133481
Oxelösund,58.6706,17.1015,42.73,93,75,8.05,SE,1635133481
Kasongo-Lunda,-6.4667,16.8167,69.37,97,59,1.23,CD,1635133481
Avera,33.194,-82.5271,67.51,61,100,5.28,US,1635133482
Pauini,-7.7136,-66.9764,79.38,73,96,0.58,BR,1635133482
Yamada,39.4667,141.95,62.94,56,66,10.02,JP,1635133483
Garoowe,8.4054,48.4845,73.42,75,15,7.23,SO,1635133483
Yarkovo,57.4028,67.0786,40.24,79,25,11.03,RU,1635133483
Santa Maria,-29.6842,-53.8069,51.1,93,0,0.0,BR,1635133309
Vryheid,-27.7695,30.7917,49.87,88,100,2.37,ZA,1635133484
Lagoa,39.05,-27.9833,66.45,73,68,7.09,PT,1635133485
São Filipe,14.8961,-24.4956,77.29,71,51,9.69,CV,1635133485
Vanimo,-2.6741,141.3028,85.8,65,100,8.23,PG,1635133486
Zhigansk,66.7697,123.3711,25.14,90,99,4.88,RU,1635133486
Talnakh,69.4865,88.3972,26.44,97,100,9.82,RU,1635133487
Yangi Marg`ilon,40.4272,71.7189,50.72,40,0,2.3,UZ,1635133487
Umm Kaddadah,13.6017,26.6876,78.76,24,8,17.09,SD,1635133487
Lázaro Cárdenas,17.9583,-102.2,76.93,92,100,10.09,MX,1635133247
Kysyl-Syr,63.8986,122.7617,33.24,92,99,3.8,RU,1635133488
Sabang,5.8933,95.3214,81.46,74,88,4.81,ID,1635133489
Bandarbeyla,9.4942,50.8122,78.73,70,8,2.75,SO,1635133191
Valleyview,55.0667,-117.2859,42.84,75,99,11.5,CA,1635133489
Krishnarājpet,12.655,76.4883,70.97,75,89,7.0,IN,1635133490
Okhotsk,59.3833,143.3,23.95,70,100,6.51,RU,1635133490
Indramayu,-6.3264,108.32,87.51,60,9,9.15,ID,1635133491
Avallon,47.4833,3.9,44.55,86,15,4.74,FR,1635133491
Markova,48.6758,24.4138,33.1,76,17,3.11,UA,1635133491
Tazovsky,67.4667,78.7,21.72,89,99,18.52,RU,1635133492
Evans,33.5337,-82.1307,67.03,70,100,4.29,US,1635133492
Caravelas,-17.7125,-39.2481,76.26,91,100,6.55,BR,1635133493
Mayumba,-3.432,10.6554,76.37,92,100,6.76,GA,1635133493
Evensk,61.95,159.2333,15.13,89,100,6.51,RU,1635133494
Agbor,6.2518,6.1934,72.43,98,71,2.39,NG,1635133494
Bundaberg,-24.85,152.35,80.89,80,40,5.01,AU,1635133495
Korla,41.7597,86.1469,51.21,32,0,5.88,CN,1635133495
Methóni,36.8197,21.7049,65.21,79,100,17.07,GR,1635133495
Nyagan,62.1406,65.3936,31.05,74,100,1.01,RU,1635133496
Martapura,-3.4167,114.85,89.69,62,40,5.75,ID,1635133496
Canutama,-6.5339,-64.3831,73.81,98,41,2.08,BR,1635133497
Palmer,42.1584,-72.3287,51.31,78,90,0.0,US,1635133497
Bukama,-9.2,25.85,68.47,93,100,3.71,CD,1635133498
Masterton,-40.9597,175.6575,69.96,72,63,4.18,NZ,1635133498
Yar-Sale,66.8333,70.8333,22.1,81,46,11.86,RU,1635133499
Bose,45.4612,8.0137,50.25,85,100,1.81,IT,1635133499
Herat Province,34.5,62.0,59.13,18,72,1.99,AF,1635133500
Yauya,-8.9833,-77.3,52.74,76,64,2.48,PE,1635133500
Atambua,-9.1061,124.8925,88.14,53,90,5.44,ID,1635133501
Lahaina,20.8783,-156.6825,80.6,87,39,12.21,US,1635133502
Wangqing,43.3218,129.7634,56.25,38,40,4.25,CN,1635133503
Port Pirie,-33.1833,138.0167,71.69,24,0,10.76,AU,1635133504
Czarnków,52.9021,16.5641,37.26,75,71,7.02,PL,1635133504
Kangaatsiaq,68.3065,-53.4641,16.59,92,100,10.2,GL,1635133505
Port Keats,-14.25,129.55,90.0,56,30,11.18,AU,1635133506
Lensk,60.7253,114.9278,36.57,97,100,9.22,RU,1635133506
Inyonga,-6.7167,32.0667,73.85,42,99,4.27,TZ,1635133507
Sibolga,1.7427,98.7792,84.74,68,82,3.96,ID,1635133507
Stary Sącz,49.5636,20.635,40.84,89,5,5.84,PL,1635133508
San Vicente,-26.6167,-54.1333,49.35,94,0,2.53,AR,1635133508
Humberto de Campos,-2.5983,-43.4611,77.58,86,22,5.91,BR,1635133509
Tadine,-21.55,167.8833,75.06,69,9,11.1,NC,1635133509
Port Hardy,50.6996,-127.4199,53.6,71,75,19.57,CA,1635133510
Bet Shemesh,31.7496,34.9888,64.99,100,4,4.14,IL,1635133510
Beckley,37.7782,-81.1882,63.09,65,1,9.22,US,1635133511
Mahon,39.8885,4.2658,61.36,94,0,6.91,ES,1635133511
Bridlington,54.0831,-0.1919,52.29,90,11,17.2,GB,1635133512
Tura,25.5198,90.2201,77.22,72,3,2.17,IN,1635133512
Mossamedes,-15.1961,12.1522,61.57,86,32,5.37,AO,1635133513
Hualmay,-11.0964,-77.6139,62.11,84,26,9.73,PE,1635133513
Whitehorse,60.7161,-135.0538,29.17,86,40,1.99,CA,1635133513
Rochegda,62.8,43.25,25.88,78,25,7.58,RU,1635133514
Gizo Government Station,-8.103,156.8419,83.48,71,40,2.91,SB,1635133514
Baní,18.2833,-70.3333,74.97,82,17,7.81,DO,1635133515
Botngård,63.7653,9.8111,50.77,87,0,13.8,NO,1635133515
Greeneville,36.1632,-82.831,62.87,81,100,4.12,US,1635133516
Kenitra,34.261,-6.5802,66.72,64,100,2.08,MA,1635133372
Villa María,-32.4075,-63.2402,65.82,47,0,13.06,AR,1635133219
Port Hedland,-20.3167,118.5667,93.25,29,0,12.66,AU,1635133517
Araouane,18.9048,-3.5265,85.44,25,77,9.73,ML,1635133517
Tegul'det,57.3064,88.1667,43.52,89,100,10.04,RU,1635133518
Brae,60.3964,-1.353,51.71,83,88,16.78,GB,1635133518
Banepā,27.6298,85.5214,66.52,77,20,0.0,NP,1635133519
Mahon,39.8885,4.2658,61.36,94,0,6.91,ES,1635133519
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,59.22,55,0,5.68,AR,1635133520
Ordzhonīkīdze,52.4411,61.7408,47.48,89,100,4.32,KZ,1635133520
Bulancak,40.9372,38.2291,51.62,87,75,8.05,TR,1635133521
Iquitos,-3.7481,-73.2472,77.04,88,40,3.44,PE,1635133522
Ures,29.4333,-110.4,77.22,50,1,1.92,MX,1635133522
Sawang Daen Din,17.4753,103.4575,82.18,72,100,5.3,TH,1635133522
Ambatondrazaka,-17.8333,48.4167,70.09,85,98,5.26,MG,1635133523
Gharo,24.7424,67.5856,79.02,30,0,14.27,PK,1635133523
Azángaro,-14.9167,-70.2167,46.33,68,100,6.08,PE,1635133524
Weligama,5.9667,80.4167,84.7,69,95,6.22,LK,1635133524
Zhangjiakou,40.81,114.8794,55.2,41,100,2.59,CN,1635133525
Northam,51.0333,-4.2167,56.08,95,19,10.45,GB,1635133525
Lomovka,53.9194,58.3672,36.52,93,100,1.19,RU,1635133525
Vieste,41.8825,16.175,50.5,62,49,4.94,IT,1635133526
Krasnogorsk,55.8225,37.3181,30.18,93,75,11.18,RU,1635133527
